desired_outcomes,doc,evidence,granularity,job_map_stage,job_statement,job_type,notes,parent_job,persona,prerequisites,related_jobs,section
Minimize risk of deploying unsupported configurations; Reduce time to validate version compatibility; Ensure awareness of platform support lifecycle,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 151-240: Compatibility and support matrix section with version table and Technology Preview tracker,main_job,Plan,"When planning an OpenShift GitOps deployment or upgrade, I want to understand which component versions are compatible with my OpenShift cluster version, so I can ensure a supported configuration and avoid version conflicts.",core,This section serves the job of understanding version compatibility before deployment decisions.,,Platform administrator,,Understand Technology Preview feature status; Plan upgrade path,Compatibility and support matrix
Minimize risk of using unsupported features in production; Reduce time to assess feature maturity; Ensure awareness of support scope,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 186-240: Technology Preview tracker table showing feature status progression from TP to GA,user_story,Plan,"When evaluating new GitOps features, I want to know which features are in Technology Preview versus General Availability, so I can make informed decisions about production readiness.",core,User story for understanding feature maturity status within the broader planning job.,"When planning an OpenShift GitOps deployment or upgrade, I want to understand which component versions are compatible with my OpenShift cluster version, so I can ensure a supported configuration and avoid version conflicts.",Platform administrator,,Assess production readiness of features,Compatibility and support matrix
Minimize time to discover fix availability; Reduce risk of AppProject data loss; Ensure stable resync operations,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 277-280: Fixed issue GITOPS-9200 preventing unintended AppProjects deletion during resync,main_job,Troubleshoot,"When encountering issues with AppProjects deletion during resync operations, I want to know if the issue is fixed in the latest release, so I can decide whether to upgrade and resolve the problem.",core,Release notes serve the job of discovering whether known issues have been resolved.,,Platform administrator,Have deployed OpenShift GitOps with autonomous agents,Plan upgrade to resolve known issues; Understand AppProject management,Release notes for Red Hat OpenShift GitOps 1.20.1
Ensure Argo CD login works with cluster authentication model; Minimize authentication configuration complexity; Reduce security policy violations,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 316-319: GITOPS-8017 describing authentication changes for external authentication environments,main_job,Configure,"When external authentication is enabled on OpenShift 4.20+, I want to configure Argo CD authentication using an external OIDC provider, so I can maintain login functionality and align with cluster security policies.",core,This new feature creates a new job for administrators running external authentication.,,Platform administrator,Have OpenShift cluster with external authentication enabled; Understand OIDC configuration,Configure Red Hat Build of Keycloak; Migrate from Dex to external OIDC,New features - Changes to Argo CD authentication
Minimize time to configure namespace support; Reduce manual configuration maintenance; Enable dynamic namespace patterns,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 321-324: GITOPS-8217 describing wildcard support in .spec.applicationSet.sourceNamespaces,main_job,Configure,"When managing ApplicationSets across many namespaces, I want to use wildcard patterns instead of maintaining a static namespace list, so I can reduce configuration overhead and enable dynamic namespace support.",core,Feature enables a more efficient way to accomplish namespace configuration jobs.,,Platform administrator,Have Argo CD custom resource deployed; Understand ApplicationSet namespace scoping,Manage ApplicationSet source namespaces; Enable multi-namespace ApplicationSets,New features - Enhanced wildcard support
Minimize time to deploy agents across clusters; Reduce deployment complexity; Ensure consistent agent configuration,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 326-329: GITOPS-8164 describing managed and autonomous agent installation through Argo CD CR,main_job,Deploy,"When deploying Argo CD agents for multi-cluster management, I want to configure agent installation directly through the Argo CD CR, so I can simplify deployment workflows and use operator-managed lifecycle.",core,Feature simplifies agent deployment job by consolidating into the CR-based workflow.,,Platform administrator,Understand Argo CD agent architecture; Have multi-cluster environment,Deploy managed agents; Deploy autonomous agents; Configure agent mapping modes,New features - Managed and autonomous agent installation
Minimize namespace management complexity in multitenant setups; Reduce application routing configuration overhead; Ensure applications retain original namespace on spoke clusters,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 331-338: GITOPS-8531 describing destination-based mapping support,main_job,Configure,"When organizing applications for multiple teams in multitenant environments, I want to route applications to agents using destination-based mapping, so I can support teams with separate namespaces targeting the same agent.",core,Feature enables a different approach to multitenant application routing jobs.,,Platform administrator,Have deployed Argo CD agents; Understand multitenant architecture,Configure destination-based mapping; Enable automatic namespace creation on spoke clusters,New features - Mapping Applications to managed agents
Minimize configuration duplication across applications; Reduce time to manage image update policies; Ensure backward compatibility with existing annotations,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 340-369: GITOPS-8544 describing Image Updater CR with legacy annotation reading (Technology Preview),main_job,Configure,"When managing image updates across multiple applications generated by ApplicationSets, I want to use a custom resource instead of per-application annotations, so I can centralize image update configuration and reduce duplication.",core,Technology Preview feature for a new approach to image update management. Emotional job: feel confident adopting new workflow without migration risk.,,Platform administrator,Have ApplicationSets deployed; Understand Argo CD Image Updater,Configure image update policies; Migrate from annotation-based to CR-based workflow,New features - Image Updater custom resource
Minimize time to receive image push notifications; Reduce registry-specific integration complexity; Ensure automated updates on ECR pushes,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 371-383: GITOPS-8283 describing CloudEvents v1.0 webhook handler for AWS ECR,user_story,Configure,"When receiving AWS ECR push events, I want the Image Updater to process CloudEvents webhooks, so I can automate image updates using standard event formats and AWS EventBridge integration.",core,Technology Preview user story for AWS ECR integration within the image update management job.,"When managing image updates across multiple applications generated by ApplicationSets, I want to use a custom resource instead of per-application annotations, so I can centralize image update configuration and reduce duplication.",Platform administrator,Have AWS ECR registry; Configure AWS EventBridge,Configure CloudEvents webhook handler; Integrate ECR with EventBridge,New features - CloudEvents webhook support
Minimize time to access diagnostic information; Reduce need for direct cluster access; Enable centralized troubleshooting,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 385-388: GITOPS-7264 describing pod log streaming in agent architecture,main_job,Troubleshoot,"When troubleshooting applications on workload clusters, I want to view pod logs from the control plane, so I can diagnose issues without direct access to each workload cluster.",core,Feature enables centralized troubleshooting job previously requiring per-cluster access.,,Platform administrator,Have Argo CD agent architecture deployed,Troubleshoot application issues; Monitor workload cluster health,New features - Pod log streaming in agent architecture
Minimize time to identify performance bottlenecks; Reduce complexity of diagnosing distributed system issues; Ensure visibility across all agent components,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 390-393: GITOPS-8119 describing OpenTelemetry integration for Argo CD agent and principal,main_job,Monitor,"When diagnosing performance issues in Argo CD agent deployments, I want distributed tracing via OpenTelemetry, so I can gain visibility into system behavior across principal and agent components.",core,Feature enables observability job for distributed agent architecture.,,SRE,Have Argo CD agent architecture deployed; Understand OpenTelemetry and distributed tracing,Monitor agent performance; Analyze trace data for bottlenecks,New features - OpenTelemetry integration
Minimize attack surface of Argo CD components; Reduce risk of unauthorized network access; Ensure compliance with security policies,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 395-398: GITOPS-7787 describing network policies preventing unnecessary ingress/egress traffic,main_job,Secure,"When securing Argo CD deployments, I want Kubernetes Network Policies applied to workload pods, so I can enforce least-privilege network access and mitigate identified security risks.",core,Feature implements security hardening job by default. Users can opt out via spec.networkPolicy.enabled.,,Security administrator,Understand Kubernetes Network Policies; Have security requirements defined,Review OpenShift threat model; Configure network isolation,New features - Network policies for core Argo CD components
Minimize manual certificate management overhead; Reduce configuration errors from manual ConfigMap editing; Ensure plugins trust required TLS hosts,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 400-403: GITOPS-7391 describing Kubernetes trust anchor support through Argo CD CR,main_job,Configure,"When configuring TLS trust for repo-server plugin sidecars, I want to manage CA certificates through the Argo CD CR instead of manual ConfigMap edits, so I can simplify certificate lifecycle management.",core,Feature simplifies certificate management job by moving from manual to operator-managed configuration.,,Platform administrator,Have Argo CD deployed with repo-server plugins,Configure TLS trust for kustomize and other plugins; Manage CA certificate lifecycle,New features - Kubernetes trust anchors
Minimize risk of dependency violations during deletion; Reduce service disruptions from parallel deletion; Ensure graceful application teardown,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 405-408: GITOPS-6250 describing ordered deletion support in Progressive Sync,main_job,Operate,"When deleting applications managed by Progressive Sync, I want to configure the deletion order, so I can avoid dependency issues and prevent service disruptions.",core,Feature enables safe deletion job for applications with dependencies.,,Platform administrator,Use Progressive Sync feature; Understand application dependencies,Configure application deletion order; Manage application lifecycle,New features - Progressive sync with ordered deletion
Minimize manual cleanup overhead; Reduce risk of orphaned RBAC resources; Ensure consistent resource management across namespace changes,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 410-413: GITOPS-8537 describing automatic cleanup mechanism for orphaned operator roles,main_job,Operate,"When removing namespaces from sourceNamespaces configuration, I want the operator to automatically clean up orphaned roles and role bindings, so I can avoid resource leaks and ensure consistent RBAC state.",core,Feature automates cleanup job when namespace configuration changes.,,Platform administrator,Use sourceNamespaces or applicationSet.sourceNamespaces configuration,Manage namespace lifecycle; Review RBAC resource state,New features - Automatic cleanup of orphaned roles
Minimize friction accessing Argo Rollouts CLI; Reduce dependency on specific packaging formats; Ensure multi-platform binary availability,gitops-release-notes-1-20.adoc,release_notes-combined.adoc -> Lines 415-418: GITOPS-5038 describing Argo Rollouts kubectl plugin binaries built through Konflux,main_job,Get Started,"When implementing progressive delivery workflows, I want standalone Argo Rollouts CLI binaries for my platform, so I can access the kubectl plugin without RPM packaging constraints.",consumption,Consumption chain job - making the tool available across platforms.,,Platform administrator,,Download platform-specific binaries; Use Argo Rollouts CLI for progressive delivery,New features - Argo Rollouts kubectl plugin binaries
