doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
observability-combined.adoc,Viewing Argo CD logs / Storing and retrieving Argo CD logs,"When I need to troubleshoot Argo CD application behavior, I want to access and view Argo CD logs through a centralized logging system, so I can diagnose issues and understand system activity.",core,Platform administrator,Observe,main_job,,,Monitor Argo CD instances; Monitor GitOps dashboards,Minimize time to locate relevant logs; Reduce likelihood of missing critical error messages; Ensure logs are centrally accessible for team collaboration,Lines 138-183: Storing and retrieving Argo CD logs procedure - Kibana dashboard integration,Core observability job. Uses Kibana dashboard through OpenShift Logging subsystem.
observability-combined.adoc,Viewing Argo CD logs / Storing and retrieving Argo CD logs,"As a Platform administrator, when I need to filter Argo CD logs for specific pods or namespaces, I want to use Kibana filters, so I can narrow my troubleshooting scope efficiently.",core,Platform administrator,Observe,user_story,Access and view Argo CD logs through centralized logging,OpenShift GitOps Operator installed; Logging subsystem installed,,Minimize time to filter through large log volumes; Reduce noise from unrelated logs,Lines 163-177: Creating filters in Kibana for namespace and pod filtering,Specific approach using Kibana UI filters. Alternative approaches could include CLI log access.
observability-combined.adoc,Monitoring with GitOps dashboards / Accessing GitOps monitoring dashboards,"When I need to observe GitOps instance behavior and usage across the cluster, I want to access graphical monitoring dashboards, so I can quickly understand system health and performance trends.",core,Platform administrator,Monitor,main_job,,,Monitor Argo CD instances; Monitor GitOps Operator performance,Minimize time to identify performance bottlenecks; Reduce likelihood of missing degraded instances; Ensure visibility into all GitOps instances cluster-wide,"Lines 306-359: Four GitOps dashboards - Overview, Components, gRPC Services, Rollouts","Main monitoring job. Provides four specialized dashboards: Overview, Components, gRPC Services, and Rollouts."
observability-combined.adoc,Monitoring with GitOps dashboards / Accessing GitOps monitoring dashboards,"As a Platform administrator, when I need to view GitOps metrics visually, I want to access dashboards from the Administrator perspective, so I can monitor instance health without manual metric queries.",core,Platform administrator,Monitor,user_story,Observe GitOps instance behavior through graphical dashboards,GitOps Operator installed in openshift-gitops-operator namespace; Cluster monitoring enabled; Argo CD application installed,,Minimize need for PromQL expertise; Reduce time to assess cluster-wide GitOps health,Lines 329-356: Dashboard access procedure via web console,UI-based approach. Dashboards are auto-deployed by Operator and not customizable.
observability-combined.adoc,Monitoring Argo CD instances / Monitoring Argo CD health using Prometheus metrics,"When I need to track Argo CD application health status, I want to query Prometheus metrics, so I can detect out-of-sync applications and respond before issues escalate.",core,SRE,Monitor,main_job,,,Access GitOps dashboards; Monitor custom resource workloads,Minimize time to detect out-of-sync applications; Reduce likelihood of undetected sync failures; Ensure automated alerting for critical sync issues,Lines 482-528: Prometheus metrics integration for health monitoring,Operator automatically connects Argo CD to monitoring stack. Provides alerts for out-of-sync applications.
observability-combined.adoc,Monitoring Argo CD instances / Monitoring Argo CD health using Prometheus metrics,"As an SRE, when I need to check application health status programmatically, I want to use PromQL queries, so I can integrate health checks into my automation workflows.",core,SRE,Monitor,user_story,Track Argo CD application health status,Cluster admin access; GitOps Operator and Argo CD application installed,,Minimize manual health check effort; Ensure health data is queryable for automation,Lines 505-528: Example PromQL query for argocd_app_info metric by health_status,PromQL-based approach for health monitoring. Can filter by namespace.
observability-combined.adoc,Monitoring Argo CD instances / Disabling automatic scraping of metrics,"When metric scraping for multiple Argo CD instances causes excessive storage usage, I want to selectively disable metric collection, so I can control storage costs while maintaining visibility for critical instances.",core,Platform administrator,Configure,main_job,,,Monitor Argo CD instances,Minimize storage usage from excessive metrics; Reduce cluster resource consumption; Ensure flexibility to enable/disable per instance,Lines 536-634: Procedure to disable automatic metric scraping via ArgoCD CR,"Configuration job. By default, Operator scrapes all instances. Can disable via spec.monitoring.disableMetrics."
observability-combined.adoc,Monitoring Argo CD instances / Disabling automatic scraping of metrics,"As a Platform administrator, when I need to disable metrics for a specific Argo CD instance, I want to set the disableMetrics flag in the ArgoCD CR, so I can reduce monitoring overhead without affecting other instances.",core,Platform administrator,Configure,user_story,Selectively disable metric collection to control storage,Access to modify ArgoCD custom resources,,Minimize risk of storage exhaustion; Ensure per-instance control over monitoring,Lines 565-634: Setting spec.monitoring.disableMetrics to true via YAML or CLI patch,"YAML or CLI approach. Operator deletes PrometheusRule, ServiceMonitors, and related resources when disabled."
observability-combined.adoc,Monitoring the GitOps Operator performance,"When I need to understand GitOps Operator performance and reconciliation behavior, I want to access Operator-specific metrics, so I can diagnose slow reconciliations or scaling issues.",core,Platform administrator,Monitor,main_job,,,Monitor Argo CD instances; Access GitOps dashboards,Minimize time to identify Operator bottlenecks; Reduce likelihood of performance degradation; Ensure visibility into Operator reconciliation cycles,"Lines 763-845: Six Operator performance metrics including active instances, reconciliation count, and timing","Operator emits six metrics: active instances (total/by phase), reconciliation count/timing per instance. OpenShift monitoring stack auto-picks them up."
observability-combined.adoc,Monitoring the GitOps Operator performance / Accessing the GitOps Operator metrics,"As a Platform administrator, when I need to view Operator metrics, I want to query them via the Observe Metrics page, so I can track Operator health and performance trends.",core,Platform administrator,Monitor,user_story,Understand GitOps Operator performance through metrics,GitOps Operator installed in openshift-gitops-operator namespace; Cluster monitoring enabled,,Minimize time to assess Operator performance; Ensure metrics are accessible without CLI expertise,Lines 802-845: Accessing Operator metrics via Administrator perspective Observe -> Metrics,UI-based metric access. Can filter metrics by properties like phase=Available.
