"Mapping existing content to jobs
Usage:
- Use this tab to map your existing content to the jobs and categories identified in the Job Spreadsheet Template
Tip:
You can also use this template to
-- Identify and add missing jobs
-- Get doc team and stakeholder feedback and refactor the TOC",,,,,,,,
,,,,,,,,
JTBD,,,,Existing content,,,,
JTBD Category,Job title,Job Level 2,Job Level 3,Splash page title,Chapter/Level 1,Level 2,Level 3,Level 4
What's New,,,,,,,,
,"Platform Administrator** (40%) - Infrastructure and cluster management
2. **Platform Engineer** (30%) - GitOps automation and tooling
3. **Cluster Administrator** (15%) - Configuration and RBAC
4. **DevOps Engineer** (10%) - Application deployment and monitoring
5. **Application Developer** (5%) - Deploying applications



Job statements generated using Claude:

Main Jobs

========================================================================

CATEGORY: WHAT’s NEW



15. **When a new GitOps version is released, I want to understand what new capabilities are available, so I can determine if they solve my current pain points or enable new use cases.",,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Highlights of what is new and what has changed with this OpenShift GitOps release"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Release notes"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/release_notes"",""Chapter 1. Red Hat OpenShift GitOps release notes"")",,,
,,,,,,,,
Get Started,,,,,,,,
,,"When I need to understand what OpenShift GitOps is and its capabilities, I want to learn about its features and relationship to Argo CD, so I can determine if it meets my GitOps workflow needs.",,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")",,,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Introduction to OpenShift GitOps"")",,,
,,,,"=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Understanding OpenShift GitOps"")","=HYPERLINK(""https://docs.redhat.com/en/documentation/red_hat_openshift_gitops/1.20/html-single/understanding_openshift_gitops"",""Chapter 1. What is GitOps?"")",,,
,,,,,,,,
Plan,,,,,,,,
