Job ID,Original Job Statement,Old CCS Category,Old Strategic Category,Proposed Consolidated Category,Reasoning
JOB-001,Plan GitOps deployment resources,Plan,N/A,Get Started with GitOps,"Planning is part of the initial setup workflow, not a separate category"
JOB-007,Access Argo CD instance,Install,N/A,Get Started with GitOps,"Accessing the UI is part of getting started, happens right after install"
JOB-012,Install GitOps Operator via CLI,Install,N/A,Get Started with GitOps,"Core installation task in the getting started workflow"
JOB-013,Install GitOps Operator via web console,Install,N/A,Get Started with GitOps,"Alternative installation method, same getting started workflow"
JOB-028,Configure resource allocation for plugin and backend services,Configure,N/A,Optimize and Scale,"This is performance/resource optimization, not basic configuration"
JOB-031,Authenticate with OpenShift credentials,Secure,N/A,Get Started with GitOps,"Authentication is part of initial access, not ongoing security"
JOB-032,Authenticate with admin credentials,Secure,N/A,Get Started with GitOps,"Initial admin login is part of getting started"
JTBD-1,Build Self-Service Developer Platforms,N/A,Platform Engineering,Integrate and Extend,"This is an integration pattern, using GitOps with dev platforms"
JTBD-2,Enable Golden Path Developer Workflows,N/A,Platform Engineering,Deploy and Manage Applications,"Golden paths are implemented via ApplicationSets and templates - core deployment job"
JTBD-3,Automate ML Model Deployment Lifecycle,N/A,AI/ML Operations,Integrate and Extend,"Specific integration scenario with OpenShift AI"
JTBD-5,Manage Multi-Cluster Deployments at Scale,N/A,Multi-Cluster Management,Manage Multi-Cluster Environments,"Direct mapping - this is exactly what this category is for"
JTBD-6,Implement Hub-and-Spoke GitOps Architecture,N/A,Multi-Cluster Management,Manage Multi-Cluster Environments,"Hub-and-spoke is a multi-cluster pattern"
JTBD-7,Manage Virtual Machines as Code,N/A,Virtualization,Integrate and Extend,"Integration with OpenShift Virtualization"
JTBD-8,Modernize Legacy CI/CD to GitOps,N/A,Legacy Modernization,Integrate and Extend,"Integration/migration scenario"
JTBD-9,Implement Progressive Delivery with Service Mesh,N/A,Progressive Delivery,Deploy and Manage Applications,"Progressive delivery is a deployment pattern using Argo Rollouts"
JTBD-11,Enforce Security Policies Through GitOps,N/A,Security & Governance,Secure and Control Access,"Core security job"
JTBD-13,Implement GitOps Control Plane Disaster Recovery,N/A,Disaster Recovery,Secure and Control Access,"DR is part of security/resilience strategy"
JTBD-15,Implement GitOps Observability and Alerting,N/A,Observability & SRE,Monitor and Troubleshoot,"Core monitoring job"
JTBD-16,Establish Configuration Drift Detection,N/A,Observability & SRE,Monitor and Troubleshoot,"Drift detection is part of monitoring/observability"
JTBD-17,Enable Developer Self-Service Onboarding,N/A,Developer Experience,Integrate and Extend,"Integration with developer workflows and platforms"
JTBD-18,Provide Developer-Friendly GitOps CLI/UI,N/A,Developer Experience,Get Started with GitOps,"CLI tools are part of initial setup and getting started"
JTBD-19,Demonstrate GitOps ROI and Business Value,N/A,Business Outcomes,*EXCLUDE*,"This is marketing content, not a user job. Remove from JTBD framework."
JTBD-20,Architect GitOps for Enterprise Scale,N/A,Business Outcomes,Optimize and Scale,"This is actually about scaling and architecture, not business outcomes"
