Existing Documentation Category,Recommended CCS Category,Mapping Type,Mapping Rationale,Notes or Exceptions
"Release notes","What's new","Direct match","Release notes content directly aligns with 'what has changed in the current release'","Already correctly positioned at top of TOC; no changes needed"
"Understanding OpenShift GitOps","Discover","Direct match","Contains orientation content (What is GitOps, About GitOps) that aligns with 'orient me to what the product is'","Move to position #2 in TOC per CCS guidelines; consider moving diagnostic content to Troubleshoot"
"Managing cluster configuration","Configure","Functional grouping","Focus is on configuring OpenShift clusters using GitOps patterns; CCS Configure: 'Adjust system settings to meet desired behavior'","Consider renaming to 'Configure cluster settings'; could consolidate with Declarative cluster configuration"
"Installing GitOps","Install","Direct match","Core installation procedures align perfectly with CCS Install: 'Set up the product so it's running in my environment'","No changes needed; excellent alignment. Include Removing GitOps as subsection per CCS (uninstalling is part of Install)"
"Argo CD instance","Configure","Functional grouping","Setting up new instances and configuring custom resources are post-installation configuration tasks","Consider merging into Configure section or keeping as subsection; CR properties could also go to Reference"
"Access control and user management","Secure","Direct match","RBAC SSO OIDC authentication are security controls; CCS Secure: 'Protect my system and data meet security requirements'","CONSOLIDATE with Security category (#15) to create comprehensive Secure section"
"Managing resource use","Optimize","Direct match","Resource quotas requests limits align with CCS Optimize: 'Right size deployment and tune software installations'","Rename to 'Optimize resource usage'; consolidate with GitOps workloads on infrastructure nodes"
"Argo CD applications","Develop","Functional grouping","Creating and deploying applications is development activity; CCS Develop: 'Create software or automation that uses product capabilities'","Consider renaming to 'Develop with Argo CD'; some topics could be Configure but primary focus is app development"
"Argo CD application sets","Develop","Functional grouping","ApplicationSets are automation tools; natural extension of application development workflow","Merge into Develop section as subsection or keep separate under Develop"
"Multitenancy","Configure","Functional grouping","Configuring namespace isolation and tenant boundaries; CCS Configure: 'Set up or tune product to behave the way I need'","Could also fit Secure (isolation for security) but primary job is configuration; consider expanding or merging"
"Declarative cluster configuration","Configure","Functional grouping","Declarative configuration methodology and cluster customization topics fit Configure","Consolidate with 'Managing cluster configuration' to create comprehensive cluster config section"
"Argo CD Agent architecture","Discover","Subcategory","Architecture overview and conceptual content; CCS Discover includes 'conceptual diagrams'","Move to Discover section early in documentation; merge into main Discover or create Architecture subsection"
"Argo CD Agent installation","Extend (or Install)","Subcategory","Installation of optional component; could be Install (procedures) or Extend (optional add-on that enhances capabilities)","If agent is core supported option→Install; if optional enhancement→Extend. Recommend Extend based on optional nature"
"Argo Rollouts","Extend","Direct match","Optional component that adds progressive delivery capabilities; CCS Extend: 'Enhance product functionality by adding supported extensions'","Perfect alignment; this is where 'Progressive delivery' content lives. No changes needed"
"Security","Secure","Direct match","Secrets management secure communications align with CCS Secure: 'Implement security controls and ensure compliance'","CONSOLIDATE with Access control (#6) to create single comprehensive Secure section"
"GitOps CLI (argocd) reference","Reference","Direct match","CLI commands and reference material; CCS Reference: 'Look up exact details so I can configure or automate accurately'","Move to bottom section per CCS guidelines; expand to include API reference and CRD specifications"
"Observability","Observe","Direct match","Logging and monitoring content; CCS Observe: 'See what's happening in my system so I can understand or troubleshoot it'","No changes needed; excellent alignment. Already well-structured with Logging and Monitoring subsections"
"GitOps workloads on infrastructure nodes","Optimize","Functional grouping","Workload placement for performance/efficiency; CCS Optimize: 'Right size deployment for my environment'","Consolidate with Managing resource use under Optimize; could be Configure but Optimize better captures intent"
"Troubleshooting issues","Troubleshoot","Direct match","Problem diagnosis and resolution; CCS Troubleshoot: 'Fix a problem so the system works again'","Move to bottom section; EXPAND significantly (currently only 1 topic); add diagnostic gathering from Understanding"
"Removing GitOps","Install","Subcategory","CCS Install explicitly includes 'uninstalling procedures' as part of installation lifecycle","Move as subsection under Install rather than standalone category"
"Progressive delivery (mentioned in question)","Extend","Not a category - covered by Argo Rollouts","Progressive delivery is implemented via Argo Rollouts optional component","Content exists in Argo Rollouts section; consolidate all progressive delivery topics there"
"Manage (mentioned in question)","Multiple mappings","Not a CCS category - use context-specific mapping","'Manage' should map to: Configure (settings) Optimize (resources) Secure (secrets) Develop (apps) Administer (operations)","Replace 'Managing' with appropriate CCS verb: Configure Optimize Secure Develop Administer based on context"
