Job ID,CCS Category,Job Type,Job Statement,Persona,Context,Evidence,Documentation Section,Source Books,Source Modules,Status,Priority,Notes
JOB-001,Plan,Main Job,Plan GitOps deployment resources,cluster administrator,,Read the following sizing requirements before you install OpenShift GitOps on OpenShift Container Platform,Preparing to install OpenShift GitOps,installing_gitops,modules/sizing-requirements-for-gitops.adoc,Documented,,
JOB-002,Plan,User Story,Size Redis resources for large-scale deployments,cluster administrator,,"During the capacity planning stage for your application in the OpenShift GitOps Operator, you must ensure that an adequate amount of resources, such as memory, CPU, and storage, are allocated for the argocd-redis pod",Sizing requirements for Argo CD redis,installing_gitops,modules/sizing-requirements-for-gitops.adoc,Documented,,
JOB-003,Plan,User Story,Understand resource requirements for default GitOps workloads,cluster administrator,,The following table details the resource requests and limits for the default workloads,Sizing requirements for GitOps,installing_gitops,modules/sizing-requirements-for-gitops.adoc,Documented,,
JOB-004,Plan,User Story,"When Argo CD is already deployed, I want to update resource requirements for workloads, so I can optimize performance or adjust to changing capacity needs",Platform Administrator,Post-installation resource requirement adjustments,You can update the resource requirements for all or any of the workloads post installation,Patching Argo CD instance to update the resource requirements,managing_resource,managing_resource,Documented,,
JOB-005,Plan,User Story,"When planning resource allocation, I want to understand how GitOpsService controller applies resource values, so I can make informed decisions about custom vs default configurations",Platform Administrator,Understanding resource configuration behavior,The following information describes how the GitOpsService controller applies resource values defined in the GitOpsService custom resource (CR),Behavior of resource configuration,managing_resource,managing_resource,Documented,,
JOB-006,Plan,User Story,"When resource constraints are no longer applicable, I want to remove resource requirements from workloads, so I can allow unrestricted resource consumption",Platform Administrator,Removing quota restrictions or moving to unrestricted namespace,You can also remove resource requirements for all or any of your workloads after installation,Removing resource requests,managing_resource,managing_resource,Documented,,
JOB-007,Install,Main Job,Access Argo CD instance,cluster administrator,,Use the Argo CD admin account to log in to the default ready-to-use Argo CD instance or the newly installed and deployed Argo CD instance,Logging in to the Argo CD instance by using the Argo CD admin account,installing_gitops,modules/logging-in-to-the-argo-cd-instance-by-using-the-argo-cd-admin-account.adoc,Documented,,
JOB-008,Install,Main Job,Install GitOps CLI on Linux,developer,,"For Linux distributions, you can download the GitOps argocd CLI as a tar.gz archive",Installing the GitOps CLI,installing_gitops,modules/gitops-installing-argocd-cli-on-linux.adoc,Documented,,
JOB-009,Install,Main Job,Install GitOps CLI on Windows,developer,,"For Windows, you can download the GitOps argocd CLI as a compressed zip archive",Installing the GitOps CLI,installing_gitops,modules/gitops-installing-argocd-cli-on-windows.adoc,Documented,,
JOB-010,Install,Main Job,Install GitOps CLI on macOS,developer,,"For macOS, you can download the GitOps argocd CLI as a tar.gz archive",Installing the GitOps CLI,installing_gitops,modules/gitops-installing-argocd-cli-on-macos.adoc,Documented,,
