CCS Category,Current Job Count,Coverage Status,Priority,Recommended Actions,Target Job Count
Discover,0,NO COVERAGE,High,Create foundational content,3-5
Get started,0,NO COVERAGE,High,Create foundational content,3-5
Plan,6,ADEQUATE,Low,Maintain and enhance,Current
Install,21,STRONG,Low,Consolidate if needed,Current
Upgrade,0,NO COVERAGE,Medium,Create foundational content,3-5
Migrate,0,NO COVERAGE,Medium,Create foundational content,3-5
Administer,0,NO COVERAGE,Medium,Create foundational content,3-5
Develop,0,NO COVERAGE,Medium,Create foundational content,3-5
Configure,3,ADEQUATE,Low,Maintain and enhance,Current
Secure,3,ADEQUATE,Low,Maintain and enhance,Current
Observe,0,NO COVERAGE,Medium,Create foundational content,3-5
Integrate,0,NO COVERAGE,Medium,Create foundational content,3-5
Troubleshoot,0,NO COVERAGE,High,Create foundational content,3-5
Reference,0,NO COVERAGE,Medium,Create foundational content,3-5
