Current Category (Draft 2),Current Items,% of Total,Problem,Proposed Category,Proposed Items,% of Total,What Moves Here,Benefit
Set up,196,58%,Massive catch-all - impossible to navigate,Get Started,40,12%,"Install Operator, Install CLI, Initial login, Understanding concepts","Clear onboarding path"
Set up,196,58%,Same as above,Deploy & Manage Applications,100,30%,"Argo CD Applications, ApplicationSets, Declarative cluster config, app lifecycle","Core GitOps job - clear focus"
Set up,196,58%,Same as above,Configure Argo CD,80,24%,"Argo CD instances, resource management, multitenancy, Argo CD Agent","Platform configuration distinct from app deployment"
Set up,196,58%,Same as above,Secure & Control Access,26,8%,"RBAC configs, SSO, local users from Set up section","Combines with Security category below"
Security,23,7%,Split from Set up access control,Secure & Control Access,45,13%,"Existing security content + access control from Set up","Complete security workflow in one place"
Progressive delivery,45,13%,Should be part of deployment workflows,Deploy & Manage Applications,100,30%,"Argo Rollouts merged into deployment category","Progressive delivery is HOW you deploy, not separate job"
Observability,26,8%,Too small on its own,Monitor & Troubleshoot,35,10%,"Existing observability + troubleshooting content","Complete operational visibility"
Troubleshoot,4,1%,Too small to be separate,Monitor & Troubleshoot,35,10%,"Merged with observability","Users who monitor also troubleshoot - natural pairing"
Install,21,6%,Overlaps with Set up,Get Started,40,12%,"Installation is part of getting started","Complete onboarding journey"
Manage,5,1%,Unclear boundary with Set up,Deploy & Manage Applications,100,30%,"Application management merged, resource mgmt goes to Configure","Clearer focus on application management"
Reference,18,5%,Already well-scoped,Reference,38,11%,"CLI reference, architecture, glossary, release notes","Reference materials consolidated"
Get started (new content),0,0%,Missing from current structure,Get Started,40,12%,"Understanding GitOps content, release notes","Makes onboarding complete"
TOTAL,338,100%,,TOTAL,338,100%,,"Same content, better organized"
