doc,section,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence,notes
argo_rollouts-combined.adoc,Argo Rollouts overview,"When I need to reduce deployment risk for application updates, I want to automate progressive delivery with canary or blue-green strategies, so I can safely expose new versions to production traffic incrementally.",core,Platform engineer,Deploy,main_job,,,,Minimize risk of failed deployments affecting all users; Reduce time to detect deployment issues; Ensure rollback capability without manual intervention,argo_rollouts-combined.adoc -> Argo Rollouts overview,
argo_rollouts-combined.adoc,Using Argo Rollouts for progressive deployment delivery,"When setting up progressive delivery capabilities, I want to install and configure Argo Rollouts in my cluster, so I can enable advanced deployment strategies for my applications.",consumption,Cluster administrator,Get Started,main_job,,,,Minimize time to get Argo Rollouts operational; Ensure correct scoping (cluster vs namespace); Reduce likelihood of configuration errors,argo_rollouts-combined.adoc -> Using Argo Rollouts for progressive deployment delivery,
argo_rollouts-combined.adoc,Routing traffic by using Argo Rollouts,"When deploying applications with canary strategies, I want to route percentage-based traffic between versions, so I can gradually validate new releases with real user traffic.",core,Application developer,Deploy,main_job,,,,Minimize blast radius of deployment issues; Ensure precise traffic distribution control; Reduce time to validate new version performance,argo_rollouts-combined.adoc -> Routing traffic by using Argo Rollouts,
argo_rollouts-combined.adoc,Argo Rollouts architecture overview,"When validating deployment success, I want to define and run automated analysis against metrics, so I can make data-driven promotion or rollback decisions.",core,SRE,Monitor,main_job,,,,Minimize false positives in deployment validation; Reduce time to detect degraded performance; Ensure objective promotion criteria,argo_rollouts-combined.adoc -> Argo Rollouts architecture overview,
argo_rollouts-combined.adoc,Argo Rollouts CLI overview,"When managing Argo Rollouts deployments, I want to monitor rollout progress and control promotion steps, so I can ensure deployments proceed safely or intervene when needed.",core,DevOps engineer,Monitor,main_job,,,,Minimize time to understand rollout status; Reduce effort required to pause or promote deployments; Ensure visibility into deployment progress,argo_rollouts-combined.adoc -> Argo Rollouts CLI overview,
argo_rollouts-combined.adoc,Enabling high availability support for Argo Rollouts,"When scaling Argo Rollouts for production, I want to configure high availability and resource isolation, so I can ensure reliable operation under load.",core,Platform engineer,Configure,main_job,,,,Minimize downtime from controller failures; Reduce likelihood of resource contention; Ensure consistent rollout behavior across namespaces,argo_rollouts-combined.adoc -> Enabling high availability support for Argo Rollouts,
argo_rollouts-combined.adoc,Configuring traffic management and metric plugins in Argo Rollouts,"When integrating with service mesh or ingress controllers, I want to configure traffic management plugins, so I can leverage existing infrastructure for traffic shaping.",related,Infrastructure engineer,Configure,main_job,,,,Minimize duplication of traffic management infrastructure; Ensure compatibility with existing networking components; Reduce complexity of traffic routing configuration,argo_rollouts-combined.adoc -> Configuring traffic management and metric plugins in Argo Rollouts,
argo_rollouts-combined.adoc,Enabling support for namespace-scoped Argo Rollouts installation,"When managing Argo Rollouts across multiple tenants, I want to configure namespace-scoped or cluster-scoped instances, so I can balance isolation with operational efficiency.",core,Platform administrator,Administer,main_job,,,,Minimize security risks from cross-tenant access; Reduce operational overhead of managing multiple instances; Ensure proper resource isolation between tenants,argo_rollouts-combined.adoc -> Enabling support for namespace-scoped Argo Rollouts installation,
argo_rollouts-combined.adoc,Getting started with Argo Rollouts,"When creating my first canary deployment, I want to follow a complete example workflow, so I can understand all required components and their relationships.",core,Application developer,Get Started,main_job,,,,Minimize time to first successful canary deployment; Reduce errors from missing prerequisites; Ensure understanding of rollout lifecycle,argo_rollouts-combined.adoc -> Getting started with Argo Rollouts,
argo_rollouts-combined.adoc,Using a cluster-scoped Argo Rollouts instance to manage resources,"When managing cluster-wide rollout resources, I want to use a cluster-scoped Argo Rollouts instance, so I can centralize control and reduce controller overhead.",core,Platform engineer,Operate,main_job,,,,Minimize number of controller instances to manage; Reduce resource consumption from duplicate controllers; Ensure consistent policy across namespaces,argo_rollouts-combined.adoc -> Using a cluster-scoped Argo Rollouts instance to manage resources,
