Current Category,Current Title,Content Item,Proposed Category,Reasoning
Install,Installing GitOps,"Installing the OpenShift GitOps Operator, logging in to the Argo CD instance, and installing the Git...",Get Started,Installation is part of getting started
Install,Installing GitOps,Chapter 1. Preparing to install Red Hat OpenShift GitOps,Get Started,Installation is part of getting started
Install,Installing GitOps,1.1. Sizing requirements for GitOps,Get Started,Installation is part of getting started
Install,Installing GitOps,1.1.1. Sizing requirements for Argo CD redis,Get Started,Installation is part of getting started
Install,Installing GitOps,Chapter 2. Installing Red Hat OpenShift GitOps,Get Started,Installation is part of getting started
Install,Installing GitOps,2.1. Prerequisites,Get Started,Installation is part of getting started
Install,Installing GitOps,2.2. Installing Red Hat OpenShift GitOps Operator in web console,Get Started,Installation is part of getting started
Install,Installing GitOps,2.3. Installing Red Hat OpenShift GitOps Operator using CLI,Get Started,Installation is part of getting started
Install,Installing GitOps,2.4. Logging in to the Argo CD instance by using the Argo CD admin account,Get Started,Installation is part of getting started
Install,Installing GitOps,2.5. Additional resources,Get Started,Installation is part of getting started
Install,Installing GitOps,Chapter 3. Installing the GitOps CLI,Get Started,Installation is part of getting started
Install,Installing GitOps,3.1. Installing the Red Hat OpenShift GitOps CLI on Linux,Get Started,Installation is part of getting started
Install,Installing GitOps,3.2. Installing the Red Hat OpenShift GitOps CLI on Linux using an RPM,Get Started,Installation is part of getting started
Install,Installing GitOps,3.3. Installing the Red Hat OpenShift GitOps CLI on Windows,Get Started,Installation is part of getting started
Install,Installing GitOps,3.4. Installing the Red Hat OpenShift GitOps CLI on macOS,Get Started,Installation is part of getting started
Install,Installing GitOps,3.5. Additional resources,Get Started,Installation is part of getting started
Install,Removing GitOps,Removing OpenShift GitOps Operator from your cluster,Get Started,Installation content
Install,Removing GitOps,Chapter 1. Uninstalling Red Hat OpenShift GitOps,Get Started,Installation is part of getting started
Install,Removing GitOps,1.1. Deleting the Argo CD instances,Get Started,Installation content
Install,Removing GitOps,1.2. Uninstalling the GitOps Operator,Get Started,Installation is part of getting started
Set up,Argo CD instance,"Installing and deploying Argo CD instances, enabling notifications with an Argo CD instance, and con...",Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,Chapter 1. Setting up an Argo CD instance,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.1. Installing a user-defined Argo CD instance,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.2. Configuring common cluster roles by specifying user-defined cluster roles for namespace-scoped ...,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.3. Enabling replicas for Argo CD server and repo server,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.4. Deploying resources to a different namespace,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.5. Customizing the Argo CD console link,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,1.6. Configuring ImagePullPolicy,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,Chapter 2. Argo CD custom resource and component properties,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.1. Argo CD custom resource properties,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.2. Repo server properties,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.2.1. Configure TLS trust for the repo server,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.3. Enabling notifications with an Argo CD instance,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.4. Enabling Config Management Plugins in an Argo CD CR,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.5. NotificationsConfiguration custom resource properties,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.5.1. Configuring the NotificationsConfiguration CR by using the web console,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.5.2. Configuring the NotificationsConfiguration CR by using the CLI,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.6. Configuring notifications in any Namespace,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.6.1. Understanding configuration notifications behavior across namespaces,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.7. Enabling annotation-based resource tracking in Argo CD,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.7.1. Configuring annotation-based tracking in multiple Argo CD instances,Configure Argo CD,Configuring Argo CD instances
Set up,Argo CD instance,2.8. Additional resources,Configure Argo CD,Configuring Argo CD instances
Set up,Access control and user management,Configuring user authentication and access controls for users and namespaces,Secure & Control Access,Authentication and access control
Set up,Access control and user management,Chapter 1. Configuring Argo CD RBAC,Secure & Control Access,Authentication and access control
Set up,Access control and user management,1.1. Configuring user level access,Secure & Control Access,Authentication and access control
Set up,Access control and user management,Chapter 2. Configuring SSO for Argo CD using Dex,Secure & Control Access,Authentication and access control
